step_time,imposed_displacement_mm,full_specimen_load_kN
0.01,0.2,1.7946643999999998
0.02,0.4,3.8624272
0.035,0.7000000000000001,7.004004
0.055,1.1,10.822956
0.075,1.5,14.142952
0.095,1.9,16.941516
0.115,2.3000000000000003,19.407544
0.135,2.7,21.704024
0.155,3.1,23.781928
0.175,3.5,25.664060000000003
0.195,3.9000000000000004,27.788836
0.215,4.3,29.687044
0.235,4.699999999999999,31.048244
0.255,5.1,31.920776
0.275,5.5,32.538672
0.295,5.8999999999999995,32.819392
0.315,6.3,32.998792
0.335,6.7,33.086996
0.355,7.1,32.967236
0.375,7.5,32.773148
0.395,7.9,32.598244
0.415,8.299999999999999,32.415228
0.435,8.7,32.216508000000005
0.455,9.1,31.962636
0.475,9.5,31.713576
0.495,9.9,31.484252
0.515,10.3,31.271916
0.535,10.700000000000001,31.054348
0.555,11.100000000000001,30.830452
0.575,11.5,30.599104
0.595,11.899999999999999,30.37508
0.615,12.3,30.126796
0.635,12.7,29.89534
0.655,13.100000000000001,29.66466
0.675,13.5,29.439268
0.695,13.899999999999999,29.22376
0.715,14.299999999999999,29.011080000000003
0.735,14.7,28.808184
0.755,15.1,28.611376
0.775,15.5,28.40036
0.795,15.9,28.202416
0.815,16.299999999999997,27.999048
0.835,16.7,27.803212
0.855,17.1,27.620008000000002
0.875,17.5,27.439584
0.895,17.9,27.264176
0.915,18.3,27.071924
0.935,18.700000000000003,26.87546
0.955,19.099999999999998,26.684304
0.975,19.5,26.480076
0.995,19.9,26.2632
1.0,20.0,26.186743999999997
