step_time,Upper displacement −Uz,Compressive reaction −ΣRFz
1.001,0.02,11298.26
1.002,0.04,22677.77
1.0035,0.07,38795.59
1.003535,0.07070313,38909.58
1.00357,0.07140625,38976.51
1.003623,0.07246094,38994.03
1.003702,0.07404297,38970.02
1.003821,0.07641602,38738.47
1.003999,0.07997559,38103.03
1.004266,0.08531494,37104.68
1.004666,0.09332396999999999,35895.81
1.005267,0.10533750000000001,34594.42
1.006168,0.1233578,33241.17
1.007519,0.1503883,31836.07
1.008026,0.1605248,31429.88
1.008533,0.17066119999999999,31062.54
1.009293,0.1858659,30569.61
1.010434,0.2086728,29936.24
1.012144,0.2428833,29162.33
1.01471,0.294199,28265.7
1.018559,0.37117249999999996,27276.41
1.024332,0.4866328,26229.73
1.026497,0.5299304,25924.22
1.028661,0.573228,25648.38
1.031909,0.6381745,25276.47
1.03678,0.7355941,24791.32
1.044086,0.8817235,24172.93
1.046826,0.9365221,23968.78
1.049566,0.9913206,23772.93
1.053676,1.073518,23493.41
1.059841,1.196815,23100.89
1.069088,1.38176,22557.32
1.072556,1.451115,22369.53
1.076023,1.520469,22186.83
1.081225,1.6245009999999998,21920.33
1.089027,1.7805480000000002,21534.44
1.091953,1.839066,21397.41
1.094879,1.897584,21262.84
1.099268,1.98536,21064.69
1.105851,2.117025,20776.62
1.115726,2.314523,20365.49
1.119429,2.388584,20220.79
1.123132,2.462646,20079.45
1.128687,2.573738,19873.8
1.137019,2.740377,19578.26
1.149517,2.990335,19164.72
1.168264,3.365271,18611.98
1.18701,3.7402080000000004,18144.72
1.205757,4.115145,17754.02
1.224504,4.490081,17429.92
1.229191,4.583815,17359.92
1.233877,4.67755,17293.05
1.240908,4.818151,17197.97
1.251453,5.029053,17067.06
1.26727,5.345406,16894.5
1.290997,5.819935,16684.08
1.314723,6.2944640000000005,16524.2
1.33845,6.768992999999999,16404.45
1.362176,7.243522,16316.59
1.371074,7.421471,16292.12
1.379971,7.599419,16270.73
1.393317,7.866342,16243.38
1.413336,8.266726,16211.98
1.443365,8.867302,16183.81
1.454626,9.092518,16180.66
1.465887,9.317734,16179.83
1.482778,9.655558,16181.73
1.508115,10.16229,16191.99
1.533452,10.66903,16211.56
1.558788,11.17577,16238.45
1.584125,11.6825,16260.69
1.609462,12.18924,16283.13
1.618963,12.37926,16294.02
1.628465,12.56929,16305.24
1.642716,12.85433,16321.76
1.664094,13.281889999999999,16338.38
1.696161,13.923229999999998,16360.73
1.708186,14.16373,16371.12
1.720211,14.40423,16380.85
1.738249,14.76498,16393.9
1.765306,15.306109999999999,16409.31
1.775452,15.509030000000001,16415.62
1.785598,15.71196,16421.21
1.800817,16.01634,16427.87
1.823646,16.47292,16434.32
1.857889,17.15779,16436.69
1.870389,17.40779,16438.07
1.882889,17.65779,16438.62
1.901639,18.03279,16437.33
1.929764,18.59529,16431.85
1.971952,19.43904,16415.77
2.0,20.0,16399.51
