step,rot_rad,rot_mrad,M_kNm
1,0.001,1.0,3.975858
2,0.002,2.0,7.946044
3,0.003,3.0,11.918451
4,0.004,4.0,15.880382
5,0.005,5.0,19.778537
6,0.006,6.0,22.726972
7,0.00671428571,6.71428571,24.153031
8,0.00761245245,7.61245245,26.097471
9,0.00861245245,8.612452450000001,28.139754
10,0.00961245245,9.61245245,30.144204
11,0.0106124524,10.6124524,32.101699
12,0.0116124524,11.6124524,34.02436
13,0.0126124524,12.6124524,35.911354
14,0.0136124524,13.6124524,37.755204
15,0.0146124524,14.6124524,39.576195
16,0.0156124524,15.6124524,41.362353
17,0.0166124524,16.612452400000002,43.118024
18,0.0176124524,17.6124524,44.838386
19,0.0186124524,18.6124524,46.525395
20,0.0196124524,19.612452400000002,48.182186
21,0.0206124524,20.612452400000002,49.814294
22,0.0216124524,21.6124524,51.413956
23,0.0226124524,22.6124524,52.985062
24,0.0236124524,23.612452400000002,54.521145
25,0.0246124524,24.6124524,56.017611
26,0.0256124524,25.6124524,57.474937
27,0.0266124524,26.6124524,58.913113
28,0.0276124524,27.612452400000002,60.313158
29,0.0286124524,28.6124524,61.682373
30,0.0296124524,29.6124524,63.014425
31,0.0306124524,30.6124524,64.304951
32,0.0316124524,31.6124524,65.54797
33,0.0326124524,32.612452399999995,66.748017
34,0.0336124524,33.6124524,67.903654
35,0.0346124524,34.6124524,69.024495
36,0.0356124524,35.6124524,70.083949
37,0.0366124524,36.6124524,71.086625
38,0.0376124524,37.6124524,72.031628
39,0.0386124524,38.612452399999995,72.905203
40,0.0396124524,39.612452399999995,73.717349
41,0.0406124524,40.612452399999995,74.462131
42,0.0416124524,41.6124524,75.117134
43,0.0426124524,42.6124524,75.637668
44,0.0436124524,43.6124524,76.127827
45,0.0446124524,44.6124524,76.536539
46,0.0456124524,45.6124524,76.905959
47,0.0466124524,46.612452399999995,77.244402
48,0.0476124524,47.612452399999995,77.54275
49,0.0486124524,48.6124524,77.783623
50,0.0496124524,49.6124524,78.048917
51,0.0506124524,50.6124524,78.284043
52,0.0516124524,51.6124524,78.487125
53,0.0526124524,52.6124524,78.650168
54,0.0536124524,53.6124524,78.81788
55,0.0546124524,54.612452399999995,78.968524
56,0.0556124524,55.612452399999995,79.108309
57,0.0566124524,56.6124524,79.230743
58,0.0576124524,57.6124524,79.282902
